enterprise_id,proprietor_name,business_name,age,sub_type_id,sub_type,sector,district_id,district,state,agro_zone,block,lat,lon,preferred_lang,preferred_channel,literacy,shared_device,officer_id,shg_id,onboarded_on,baseline_turnover,sim_health_latent,digital_share_start,digital_share_slope,sim_stress_script,is_named_persona
ENT0001,Jyotiben Patel,Jai Gopal Dairy,39,ST01,Dairy Producer,DAIRY,1,Anand,Gujarat,Middle Gujarat Alluvial Plain,Anand West,-0.02185,0.2146,gu,app,low,True,FO1,SHG01035,2023-08-11,786.0,marginal,0.302,0.1031,,False
ENT0002,Bornali Kalita,Sri Mahila SHG Foods,43,ST07,SHG Food Processing Unit,FOODPROC,5,Nagaon,Assam,Central Brahmaputra Valley,Nagaon East,-0.22887,-0.15275,as,app,low,True,FO5,SHG05009,2023-08-09,2837.0,robust,0.579,0.0477,,False
ENT0003,Archana Kulkarni,Shree Annapurna Unit,36,ST07,SHG Food Processing Unit,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur East,0.34748,0.0017,mr,app,numerate,True,FO4,,2023-08-19,2864.0,marginal,0.664,0.1011,,False
ENT0004,Sujatha Naidu,Sri Krishi FPO,31,ST06,FPO / Agri Aggregator,FOODPROC,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad South,0.24727,-0.05277,te,app,numerate,False,FO3,SHG03011,2023-08-08,3845.0,fragile,0.561,0.1148,,False
ENT0005,Mohan Regar,Shree Taant Ghar,51,ST03,Handloom Weaver,HANDICRAFT,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara Rural,-0.02319,-0.01598,hi,app,low,False,FO2,SHG02032,2023-08-05,1355.0,robust,0.342,0.1003,,False
ENT0006,Suresh Mudiraj,Shree Gopal Dairy,56,ST01,Dairy Producer,DAIRY,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad North,-0.22082,0.15585,te,app,low,False,FO3,SHG03025,2023-08-18,1912.0,marginal,0.591,0.0857,,False
ENT0007,Anjaneyulu Naidu,Nav Vegetable Cart,36,ST09,Vegetable Vendor,RETAIL,3,Nizamabad,Telangana,Northern Telangana Zone,Nizamabad Rural,0.01264,0.00788,te,app,numerate,True,FO3,SHG03017,2023-08-15,2911.0,fragile,0.543,0.1092,,False
ENT0008,Niranjan Mohanty,Sri Sabzi Stall,46,ST09,Vegetable Vendor,RETAIL,6,Ganjam,Odisha,East Coastal Odisha,Ganjam South,-0.15501,0.28438,or,app,numerate,False,FO6,SHG06039,2023-08-09,5364.0,robust,0.485,0.0986,,False
ENT0009,Rohini Kadam,Shree Krishi FPO,47,ST06,FPO / Agri Aggregator,FOODPROC,4,Kolhapur,Maharashtra,Western Maharashtra Ghat Zone,Kolhapur East,-0.3495,0.29118,mr,app,medium,True,FO4,SHG04004,2023-08-11,10372.0,robust,0.312,0.0743,,False
ENT0010,Sarita Jat,Nav Fresh Greens,42,ST09,Vegetable Vendor,RETAIL,2,Bhilwara,Rajasthan,Semi-Arid Eastern Rajasthan,Bhilwara North,-0.00979,0.32301,hi,assisted,low,True,FO2,SHG02001,2023-08-12,4584.0,robust,0.129,0.0269,,False
